periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"Total"
05/2024;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";872;-;-;203;-;-;-;-;-;-;-;-;-;-;4;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1082
05/2024;qtd_aprovada;"110148 SAO FELIPE D'OESTE";861;13;678;981;-;-;82;-;-;-;-;-;-;-;-;15;5038;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;602;8271
05/2024;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";11777;199;1166;11438;-;449;67;-;-;-;-;-;65;-;-;537;15095;2771;2;-;-;2;389;1;-;95;-;2;-;-;-;-;-;-;-;-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;8770;52906
05/2024;qtd_aprovada;"110150 SERINGUEIRAS";9843;-;100;3374;-;319;349;-;-;-;-;-;10;-;-;492;14794;135;-;-;-;-;185;-;-;25;-;1;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;1788;31454
05/2024;qtd_aprovada;"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;726;-;-;-;-;-;-;-;-;35;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;818
05/2024;qtd_aprovada;"110160 THEOBROMA";593;34;-;3920;-;83;-;-;-;-;-;-;14;-;-;31;4162;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8844
05/2024;qtd_aprovada;"110170 URUPA";-;22;-;4664;-;105;102;19;-;-;-;-;6;-;-;49;5195;385;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10618
05/2024;qtd_aprovada;"110175 VALE DO ANARI";344;12;47;535;-;-;63;-;-;-;-;-;-;-;-;16;1838;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2858
05/2024;qtd_aprovada;"110180 VALE DO PARAISO";390;57;-;1393;-;-;-;-;-;-;-;-;2;-;-;-;3075;-;-;-;-;-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4927
05/2024;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
05/2024;qtd_aprovada;"120001 ACRELANDIA";-;-;219;-;-;-;-;-;-;-;-;-;-;-;-;492;3336;3;-;-;-;-;-;-;-;101;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4154
05/2024;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;5447;-;219;-;-;-;-;-;-;77;-;-;231;4846;-;-;-;-;-;-;-;-;41;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10862
05/2024;qtd_aprovada;"120010 BRASILEIA";-;8;2;11835;-;9532;125;132;-;-;-;-;140;82;-;106;21586;126;74;-;727;91;178;-;-;199;-;61;-;-;-;47;-;-;-;-;-;34;-;-;1;5;-;-;-;-;-;-;15;-;-;-;45106
05/2024;qtd_aprovada;"120013 BUJARI";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74
05/2024;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26;-;-;-;223
05/2024;qtd_aprovada;"120020 CRUZEIRO DO SUL";22021;919;349;63431;-;2563;1311;1203;-;-;28;-;782;468;353;986;55505;1487;-;-;888;294;-;53;-;121;-;4;-;-;-;-;-;-;-;-;-;1;-;-;7;19;-;-;-;-;-;19691;21;57;-;-;172562
