periodo;conteudo;"Município";"0101 Acoes coletivas/individuais em saude";"0102 Vigilancia em saude";"0201 Coleta de material";"0202 Diagnostico em laboratorio clinico";"0203 Diagnostico por anatomia patologica e citopatologia";"0204 Diagnostico por radiologia";"0205 Diagnostico por ultrasonografia";"0206 Diagnostico por tomografia";"0207 Diagnostico por ressonancia magnetica";"0208 Diagnostico por medicina nuclear in vivo";"0209 Diagnostico por endoscopia";"0210 Diagnostico por radiologia intervencionista";"0211 Metodos diagnosticos em especialidades";"0212 Diagnostico e procedimentos especiais em hemoterapia";"0213 Diagnostico em vigilancia epidemiologica e ambiental";"0214 Diagnostico por teste rapido";"0301 Consultas / Atendimentos / Acompanhamentos";"0302 Fisioterapia";"0303 Tratamentos clinicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0306 Hemoterapia";"0307 Tratamentos odontologicos";"0309 Terapias especializadas";"0310 Parto e nascimento";"0311 Cuidados paliativos";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutaneo e mucosa";"0403 Cirurgia do sistema nervoso central e periferico";"0404 Cirurgia das vias aereas superiores, da face, da cabeca e do pescoco";"0405 Cirurgia do aparelho da visao";"0406 Cirurgia do aparelho circulatorio";"0407 Cirurgia do aparelho digestivo, orgaos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinario";"0410 Cirurgia de mama";"0411 Cirurgia obstetrica";"0412 Cirurgia toracica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0417 Anestesiologia";"0418 Cirurgia em nefrologia";"0501 Coleta e exames para fins de doacao de orgaos, tecidos e celulas e de transplante";"0503 Acoes relacionadas a doacao de orgaos e tecidos para transplante";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgaos, tecidos e celulas";"0506 Acompanhamento e intercorrencias no pre e pos-transplante";"0603 Medicamentos de ambito hospitalar e urgencia";"0604 Componente Especializado da Assitencia Farmaceutica";"0701 Orteses, proteses e materiais especiais nao relacionados ao ato cirurgico";"0702 Orteses, proteses e materiais especiais relacionados ao ato cirurgico";"0801 Acoes relacionadas ao estabelecimento";"0803 Autorizacao / Regulacao";"0804 Telessaude";"0901 Atenção em Oncologia";"0902 Atenção em Cardiologia";"0903 Atenção em Ortopedia";"0904 Atenção em Otorrinolaringologia";"0905 Atenção em Oftalmologia";"Total"
01/2026;qtd_aprovada;"110145 PARECIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110146 PIMENTEIRAS DO OESTE";1438;47;-;-;-;-;-;-;-;-;-;-;4;-;-;126;2858;2;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;822;-;-;-;-;-;-;5301
01/2026;qtd_aprovada;"110147 PRIMAVERA DE RONDONIA";707;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113;-;-;-;-;-;-;844
01/2026;qtd_aprovada;"110148 SAO FELIPE D'OESTE";703;-;-;-;-;-;-;-;-;-;-;-;-;-;-;42;4754;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2000;-;-;-;-;-;-;7501
01/2026;qtd_aprovada;"110149 SAO FRANCISCO DO GUAPORE";8409;142;732;9665;-;437;196;-;-;-;-;-;36;-;13;729;19344;2049;1;-;-;12;233;371;-;-;109;-;5;-;-;-;-;-;-;-;-;-;40;-;-;29;-;-;-;-;-;-;-;-;-;-;-;8827;-;-;-;-;-;-;51379
01/2026;qtd_aprovada;"110150 SERINGUEIRAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110155 TEIXEIROPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110160 THEOBROMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110170 URUPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"110175 VALE DO ANARI";670;102;166;2903;-;-;62;-;-;-;-;-;25;-;51;100;3338;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7623;-;-;-;-;-;-;15044
01/2026;qtd_aprovada;"110180 VALE DO PARAISO";161;17;-;733;-;-;104;-;-;-;-;-;11;-;-;-;2190;-;-;-;-;-;-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;721;-;-;-;-;-;-;3949
01/2026;qtd_aprovada;" MUNICIPIO IGNORADO - AC";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"120001 ACRELANDIA";148;170;350;-;-;205;-;-;-;-;-;-;-;-;-;783;3145;-;-;-;-;-;-;-;-;-;110;-;6;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4918
01/2026;qtd_aprovada;"120005 ASSIS BRASIL";-;-;-;10692;-;402;-;-;-;-;-;-;78;-;-;278;5735;-;-;-;-;-;-;-;-;-;35;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17229
01/2026;qtd_aprovada;"120010 BRASILEIA";5;332;1;26666;-;12141;94;-;-;-;-;-;23;122;-;174;18132;263;79;-;1068;148;5;-;-;-;245;-;25;-;-;-;51;-;-;-;1;-;44;-;-;30;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59653
01/2026;qtd_aprovada;"120013 BUJARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
01/2026;qtd_aprovada;"120017 CAPIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;171
01/2026;qtd_aprovada;"120020 CRUZEIRO DO SUL";58;2;189;42009;-;3537;680;1219;525;-;22;-;502;487;231;1992;42684;1483;175;-;876;334;-;5;-;-;135;-;8;-;-;-;-;-;-;-;-;-;-;-;-;17;33;-;-;-;-;-;-;27076;13;74;-;-;-;-;-;-;-;-;124366
01/2026;qtd_aprovada;"120025 EPITACIOLANDIA";20;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;223;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;290
01/2026;qtd_aprovada;"120030 FEIJO";-;165;-;12003;-;907;-;-;-;-;-;-;-;-;-;-;435;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13516
01/2026;qtd_aprovada;"120032 JORDAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"120033 MANCIO LIMA";-;43;715;5942;-;710;11;-;-;-;-;-;138;-;-;872;17807;236;36;-;-;-;-;-;-;-;290;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;215;-;-;-;-;-;-;-;-;-;27053
01/2026;qtd_aprovada;"120034 MANOEL URBANO";-;179;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;243
01/2026;qtd_aprovada;"120035 MARECHAL THAUMATURGO";-;-;1800;-;-;151;-;-;-;-;-;-;-;-;-;928;12739;-;-;-;-;-;-;-;-;-;102;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15720
01/2026;qtd_aprovada;"120038 PLACIDO DE CASTRO";163;385;2108;8547;-;386;-;-;-;-;-;-;55;-;25;294;10321;-;3;-;-;-;4;-;-;-;132;-;2;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22428
01/2026;qtd_aprovada;"120039 PORTO WALTER";250;155;5;1566;-;49;-;-;-;-;-;-;73;-;-;334;4495;-;-;-;-;-;-;-;6;-;12;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6947
01/2026;qtd_aprovada;"120040 RIO BRANCO";43342;1899;6822;407948;1907;17009;2596;9815;4552;90;215;57;4124;9374;67;16439;478651;2727;971;780;5859;2702;13312;759;-;33;3736;-;65;72;-;34;3;23;-;-;-;-;1544;-;-;516;12;309;-;-;-;131;-;187368;2075;47;-;6721;-;279;577;-;-;-;1235562
01/2026;qtd_aprovada;"120042 RODRIGUES ALVES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;66
01/2026;qtd_aprovada;"120043 SANTA ROSA DO PURUS";-;-;-;1320;-;12;-;-;-;-;-;-;10;-;-;-;798;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2146
01/2026;qtd_aprovada;"120045 SENADOR GUIOMARD";-;23;-;24186;-;284;-;-;-;-;-;-;70;-;-;272;6155;-;-;-;-;-;8;-;-;-;115;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31120
01/2026;qtd_aprovada;"120050 SENA MADUREIRA";-;772;483;20425;-;1925;53;-;-;-;-;-;76;-;-;44;13733;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37580
01/2026;qtd_aprovada;"120060 TARAUACA";-;465;-;12174;-;632;-;-;-;-;-;-;-;-;-;-;6142;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19528
01/2026;qtd_aprovada;"120070 XAPURI";-;-;-;11199;-;368;1;-;-;-;-;-;36;-;-;211;9546;-;-;-;-;-;-;-;-;-;203;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21572
01/2026;qtd_aprovada;"120080 PORTO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67
01/2026;qtd_aprovada;" MUNICIPIO IGNORADO - AM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130002 ALVARAES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130006 AMATURA";3142;-;-;6238;-;280;29;-;-;-;-;-;25;-;15;-;65429;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;75158
01/2026;qtd_aprovada;"130008 ANAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130010 ANORI";-;180;85;3756;-;20;253;-;-;-;-;-;98;-;-;575;3637;365;-;-;-;-;-;-;-;-;78;-;28;-;25;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9113
01/2026;qtd_aprovada;"130014 APUI";-;78;3;6895;-;536;20;-;-;-;-;-;99;-;-;86;3830;50;12;-;-;9;-;-;-;-;159;-;8;-;-;-;2;1;2;-;-;-;-;-;-;70;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;11899
01/2026;qtd_aprovada;"130020 ATALAIA DO NORTE";-;-;-;6251;-;403;290;-;-;-;-;-;-;-;55;104;9091;-;3;-;-;-;-;-;-;-;175;-;3;-;-;-;-;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;-;-;910;-;-;-;-;-;-;17304
01/2026;qtd_aprovada;"130030 AUTAZES";37;112;-;-;-;60;296;-;-;-;-;-;-;-;-;-;1815;-;-;-;-;-;-;-;-;-;5;-;-;34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55;-;-;-;-;-;-;-;-;-;2414
01/2026;qtd_aprovada;"130040 BARCELOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130050 BARREIRINHA";-;89;-;3157;-;496;11;-;-;-;5;-;34;-;-;759;5426;-;-;-;-;-;28;-;-;-;148;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29;-;-;-;-;-;-;-;-;28;-;-;-;-;-;-;-;-;-;10210
01/2026;qtd_aprovada;"130060 BENJAMIN CONSTANT";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130063 BERURI";-;-;1183;5056;-;314;33;-;-;-;-;-;42;-;-;102;9269;-;3;-;-;-;-;-;-;-;152;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16154
01/2026;qtd_aprovada;"130068 BOA VISTA DO RAMOS";-;211;-;2831;-;140;58;-;-;-;-;-;-;-;2;-;3827;114;-;-;-;-;-;-;-;-;47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7230
01/2026;qtd_aprovada;"130070 BOCA DO ACRE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130080 BORBA";266;153;10;-;-;534;97;-;-;-;-;-;39;-;-;804;5316;-;-;-;-;-;-;30;-;-;182;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7438
01/2026;qtd_aprovada;"130083 CAAPIRANGA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130090 CANUTAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130100 CARAUARI";-;51;2;15827;-;698;41;-;-;-;-;-;-;-;-;66;11409;-;26;-;-;-;-;-;-;-;131;-;-;-;-;-;25;-;-;-;-;-;-;8;-;38;-;-;-;-;-;-;-;-;19;-;-;-;-;-;-;-;-;-;28341
01/2026;qtd_aprovada;"130110 CAREIRO";97;-;31;17744;-;687;334;-;-;-;-;-;81;-;779;455;92285;633;-;-;-;-;110;1295;-;-;120;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;38;-;-;226;-;-;-;-;-;-;114918
01/2026;qtd_aprovada;"130115 CAREIRO DA VARZEA";-;-;357;1764;-;109;281;-;-;-;-;-;-;-;-;-;4282;-;-;-;-;-;-;-;-;-;130;-;-;-;191;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7114
01/2026;qtd_aprovada;"130120 COARI";-;232;90;39361;-;3372;1116;-;-;-;-;-;554;196;-;1116;78290;6147;-;-;-;123;-;-;-;-;122;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59;-;-;-;-;-;-;130781
01/2026;qtd_aprovada;"130130 CODAJAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130140 EIRUNEPE";17;157;1759;2018;-;377;46;-;-;-;34;-;-;-;2;202;8329;201;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13144
01/2026;qtd_aprovada;"130150 ENVIRA";-;210;943;5806;-;248;15;-;-;-;-;-;54;-;2;512;8160;-;-;-;-;-;-;-;-;-;63;-;6;-;-;-;-;-;-;-;-;1;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16032
01/2026;qtd_aprovada;"130160 FONTE BOA";565;301;-;12256;-;799;182;-;-;-;-;-;15;-;-;60;35228;-;-;-;-;-;-;-;-;-;491;-;-;-;-;-;4;-;-;-;-;-;9;-;-;8;-;-;-;-;-;-;-;-;24;-;-;100;-;-;-;-;-;-;50042
01/2026;qtd_aprovada;"130165 GUAJARA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130170 HUMAITA";298;108;3;7694;-;3047;410;156;-;-;-;33;1307;94;-;143;52336;421;330;-;-;113;163;-;-;-;157;-;-;-;-;-;-;-;-;-;-;-;300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;541;-;-;-;49;-;-;67703
01/2026;qtd_aprovada;"130180 IPIXUNA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130185 IRANDUBA";-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;590;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;620
01/2026;qtd_aprovada;"130190 ITACOATIARA";19;330;3104;99891;-;2596;1253;-;-;-;-;-;6418;316;13;36;104204;4539;-;-;-;353;-;-;-;-;585;-;17;921;-;-;-;-;-;-;-;-;-;-;-;147;-;-;-;-;-;-;-;-;-;-;-;3567;-;-;51;93;-;926;229379
01/2026;qtd_aprovada;"130195 ITAMARATI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130200 ITAPIRANGA";20;-;-;4138;-;273;164;-;-;-;-;-;61;-;-;90;11696;-;-;-;-;-;-;-;-;-;253;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16762
01/2026;qtd_aprovada;"130210 JAPURA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130220 JURUA";-;-;-;4422;-;254;35;-;-;-;-;-;90;-;-;-;2547;-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7425
01/2026;qtd_aprovada;"130230 JUTAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130240 LABREA";1261;-;24;27625;-;1518;38;-;-;-;-;-;-;-;171;650;25918;597;409;-;-;-;109;-;-;-;1356;-;2;-;-;-;-;-;-;-;-;-;325;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60003
01/2026;qtd_aprovada;"130250 MANACAPURU";64010;142;-;29176;-;1461;1337;-;-;-;-;-;1083;-;54;136;138766;-;901;-;-;-;-;-;-;-;151;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;237357
01/2026;qtd_aprovada;"130255 MANAQUIRI";373;-;-;6829;-;670;209;-;-;-;-;-;83;-;-;12;9498;-;-;-;-;1;-;1129;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18867
01/2026;qtd_aprovada;"130260 MANAUS";28623;131;7194;1200029;22088;71076;35924;22786;5068;849;3910;59;41745;57810;512;16928;1379885;42222;3119;655;13304;28234;15287;2915;370;-;12626;-;297;2591;65;298;58;15;-;-;12;-;1709;125;-;2558;190;-;-;-;-;1304;-;657401;13949;303;-;25935;6712;-;124;39;-;61;3727095
01/2026;qtd_aprovada;"130270 MANICORE";1990;21;-;22272;-;1138;318;-;-;-;-;-;545;-;-;230;27142;138;164;-;-;3;-;22;-;-;939;-;14;4;-;-;21;-;1;-;-;-;-;-;-;95;-;-;-;-;-;-;-;-;21;-;-;3126;-;-;-;-;-;-;58204
01/2026;qtd_aprovada;"130280 MARAA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130290 MAUES";4;686;1;29372;-;5311;472;577;-;-;-;-;756;-;10;337;27838;636;2;-;-;-;167;-;-;-;1290;-;33;184;-;1;4;-;-;-;-;-;57;-;-;-;-;-;-;-;-;-;-;-;37;-;-;9960;-;-;-;-;-;-;77735
01/2026;qtd_aprovada;"130300 NHAMUNDA";-;-;-;6209;-;202;177;-;-;-;-;-;-;-;-;-;3672;-;-;-;-;-;-;-;-;-;150;-;-;91;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10505
01/2026;qtd_aprovada;"130310 NOVA OLINDA DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130320 NOVO AIRAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130330 NOVO ARIPUANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01/2026;qtd_aprovada;"130340 PARINTINS";16619;-;424;59967;41;2649;1503;511;-;-;23;-;2774;199;2;1025;81233;729;78;-;-;96;667;14;-;-;2612;-;9;2;-;8;5;1;-;-;-;5;74;-;-;-;-;-;-;-;-;-;-;-;107;-;-;9230;-;-;183;185;-;-;180975
01/2026;qtd_aprovada;"130350 PAUINI";-;69;-;12432;-;328;10;-;-;-;24;-;47;-;-;-;3413;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;16348
01/2026;qtd_aprovada;"130353 PRESIDENTE FIGUEIREDO";20;189;81;20429;-;1054;415;-;-;-;-;-;355;-;-;231;9432;384;10;-;-;-;200;-;-;-;55;-;-;-;-;-;-;-;-;-;-;-;16;113;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;33005
